SA2_MAINCODE_2016	SA2_NAME_2016	PHN_CODE_2017	PHN_NAME_2017	RATIO	PERCENTAGE
502011025	Mandurah	PHN502	Perth South	1	100
502011026	Mandurah - East	PHN502	Perth South	1	100
502011027	Mandurah - North	PHN502	Perth South	1	100
502011028	Mandurah - South	PHN502	Perth South	1	100
502011029	Pinjarra	PHN502	Perth South	1	100
503011030	City Beach	PHN501	Perth North	1	100
503011031	Claremont (WA)	PHN501	Perth North	1	100
503011032	Cottesloe	PHN501	Perth North	1	100
503011033	Floreat	PHN501	Perth North	1	100
503011034	Mosman Park - Peppermint Grove	PHN501	Perth North	1	100
503011035	Nedlands - Dalkeith - Crawley	PHN501	Perth North	1	100
503011036	Swanbourne - Mount Claremont	PHN501	Perth North	1	100
503021037	Kings Park (WA)	PHN501	Perth North	1	100
503021038	Mount Hawthorn - Leederville	PHN501	Perth North	1	100
503021039	Mount Lawley - Inglewood	PHN501	Perth North	1	100
503021040	North Perth	PHN501	Perth North	1	100
503021041	Perth City	PHN501	Perth North	1	100
503021042	Subiaco - Shenton Park	PHN501	Perth North	1	100
503021043	Wembley - West Leederville - Glendalough	PHN501	Perth North	1	100
504011044	Bassendean - Eden Hill - Ashfield	PHN501	Perth North	1	100
504011045	Bayswater - Embleton - Bedford	PHN501	Perth North	1	100
504011046	Maylands	PHN501	Perth North	1	100
504011047	Morley	PHN501	Perth North	1	100
504011048	Noranda	PHN501	Perth North	1	100
504021049	Chidlow	PHN501	Perth North	1	100
504021050	Glen Forrest - Darlington	PHN501	Perth North	1	100
504021051	Helena Valley - Koongamia	PHN501	Perth North	1	100
504021052	Malmalling - Reservoir	PHN501	Perth North	1	100
504021053	Mundaring	PHN501	Perth North	1	100
504021054	Swan View - Greenmount - Midvale	PHN501	Perth North	1	100
504031055	Avon Valley National Park	PHN501	Perth North	1	100
504031056	Ballajura	PHN501	Perth North	1	100
504031057	Beechboro	PHN501	Perth North	1	100
504031058	Bullsbrook	PHN501	Perth North	1	100
504031059	Ellenbrook	PHN501	Perth North	1	100
504031060	Gidgegannup	PHN501	Perth North	1	100
504031061	Hazelmere - Guildford	PHN501	Perth North	1	99.9999995
504031062	Lockridge - Kiara	PHN501	Perth North	1	100
504031063	Malaga	PHN501	Perth North	1	100
504031064	Melaleuca - Lexia	PHN501	Perth North	1	100
504031065	Middle Swan - Herne Hill	PHN501	Perth North	1	100
504031066	Midland - Guildford	PHN501	Perth North	1	100
504031067	Stratton - Jane Brook	PHN501	Perth North	1	100
504031068	The Vines	PHN501	Perth North	1	100
504031069	Walyunga National Park	PHN501	Perth North	1	100
505011070	Craigie - Beldon	PHN501	Perth North	1	100
505011071	Currambine - Kinross	PHN501	Perth North	1	100
505011072	Duncraig	PHN501	Perth North	1	100
505011073	Greenwood - Warwick	PHN501	Perth North	1	100
